Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,2398.399902,2609.100098,2347.500000,2595.100098,2588.509766,263580000
1985-02-01,2584.000000,2640.500000,2558.699951,2595.000000,2588.410156,227890000
1985-03-01,2601.399902,2652.699951,2577.500000,2612.800049,2606.165039,232190000
1985-04-01,2614.300049,2668.800049,2592.800049,2635.300049,2628.607910,239820000
1985-05-01,2637.199951,2750.300049,2599.600098,2736.300049,2729.351318,258570000
1985-06-01,2744.399902,2766.100098,2687.500000,2712.500000,2705.611572,251620000
1985-07-01,2711.699951,2810.000000,2711.699951,2778.600098,2771.543945,269680000
1985-08-01,2782.000000,2820.899902,2749.600098,2820.000000,2812.838623,282450000
1985-09-01,2814.399902,2817.000000,2610.399902,2632.300049,2625.615479,257160000
1985-10-01,2631.300049,2675.899902,2606.500000,2674.800049,2668.007568,264920000
1985-11-01,2677.399902,2857.699951,2677.399902,2857.199951,2849.944336,323280000
1985-12-01,2854.899902,2902.199951,2832.100098,2900.600098,2893.233887,317690000
1986-01-01,2898.199951,2903.600098,2744.000000,2843.000000,2835.780273,427840000
1986-02-01,2840.699951,2858.899902,2755.000000,2855.800049,2848.547852,386440000
1986-03-01,2854.800049,3057.000000,2854.800049,3047.300049,3039.561523,581180000
1986-04-01,3045.699951,3134.500000,3014.399902,3078.899902,3071.081055,520820000
1986-05-01,3062.300049,3124.100098,3021.199951,3122.000000,3114.072021,353350000
1986-06-01,3120.000000,3120.000000,3048.699951,3085.500000,3077.664307,293130000
1986-07-01,3079.899902,3094.000000,2925.000000,2935.300049,2927.845703,333430000
1986-08-01,2936.699951,3047.699951,2930.699951,3028.199951,3020.510010,339270000
1986-09-01,3035.899902,3118.000000,2956.600098,2979.300049,2971.734131,397690000
1986-10-01,2983.000000,3051.100098,2981.100098,3038.899902,3031.182617,375340000
1986-11-01,3042.500000,3088.699951,2995.800049,3046.800049,3039.062744,342290000
1986-12-01,3046.300049,3076.399902,3026.000000,3066.199951,3058.413330,381990000
1987-01-01,3064.000000,3362.199951,3058.699951,3348.899902,3340.395508,603680000
1987-02-01,3350.500000,3579.899902,3350.500000,3498.899902,3490.014648,608030000
1987-03-01,3506.800049,3847.699951,3505.199951,3739.500000,3730.003662,739280000
1987-04-01,3725.100098,3897.100098,3656.800049,3716.699951,3707.261475,758610000
1987-05-01,3718.600098,3844.100098,3656.000000,3685.199951,3675.841553,548230000
1987-06-01,3681.800049,3740.199951,3659.000000,3740.199951,3730.701904,502440000
1987-07-01,3743.500000,4038.800049,3743.500000,4030.399902,4020.165039,639480000
1987-08-01,4065.699951,4118.899902,3974.500000,3993.600098,3983.458496,583340000
1987-09-01,4003.000000,4019.000000,3864.100098,3902.399902,3892.489746,550420000
1987-10-01,3901.199951,3919.699951,2783.300049,3019.300049,3011.632568,805280000
1987-11-01,3023.500000,3110.800049,2833.600098,2978.300049,2970.736572,501790000
1987-12-01,2992.100098,3211.800049,2898.500000,3160.100098,3152.075195,495200000
1988-01-01,3168.399902,3270.699951,3035.100098,3057.199951,3049.436035,439840000
1988-02-01,3065.000000,3204.800049,2976.300049,3204.800049,3196.661621,459160000
1988-03-01,3213.500000,3370.199951,3204.399902,3313.800049,3305.384766,511120000
1988-04-01,3313.399902,3405.100098,3306.899902,3339.800049,3331.319092,499280000
1988-05-01,3335.399902,3353.500000,3148.500000,3249.199951,3240.948975,452270000
1988-06-01,3271.399902,3450.300049,3262.899902,3441.500000,3432.760254,585670000
1988-07-01,3444.000000,3478.899902,3333.500000,3376.699951,3368.125000,396430000
1988-08-01,3382.500000,3382.500000,3239.600098,3285.800049,3277.455811,428680000
1988-09-01,3269.600098,3307.500000,3239.600098,3283.699951,3275.361084,397210000
1988-10-01,3277.800049,3430.199951,3268.699951,3395.500000,3386.877197,447740000
1988-11-01,3387.899902,3396.600098,3198.000000,3294.699951,3286.333008,434580000
1988-12-01,3297.699951,3390.000000,3280.300049,3390.000000,3381.391113,611660000
1989-01-01,3377.600098,3635.800049,3348.500000,3616.600098,3607.415771,586870000
1989-02-01,3611.800049,3704.100098,3557.000000,3572.100098,3563.029053,467730000
1989-03-01,3577.000000,3652.800049,3541.399902,3578.199951,3569.113281,465530000
1989-04-01,3574.199951,3627.899902,3545.000000,3627.899902,3618.686768,455410000
1989-05-01,3606.100098,3708.399902,3558.300049,3707.399902,3697.985107,504730000
1989-06-01,3702.800049,3807.500000,3702.300049,3760.899902,3751.349121,588940000
1989-07-01,3753.000000,3979.300049,3749.600098,3970.800049,3960.716309,402460000
1989-08-01,3982.699951,4030.899902,3927.899902,4010.199951,4000.016113,483260000
1989-09-01,4011.399902,4016.000000,3881.500000,3943.000000,3932.987061,396570000
1989-10-01,3944.000000,4042.300049,3755.600098,3918.600098,3908.648926,400350000
1989-11-01,3917.899902,3970.000000,3902.899902,3942.800049,3932.787354,516180000
1989-12-01,3950.300049,4009.100098,3911.199951,3969.800049,3959.718994,359450000
1990-01-01,3962.199951,4020.899902,3690.500000,3704.399902,3694.992432,631660000
1990-02-01,3714.000000,3795.300049,3628.399902,3686.699951,3677.337891,518700000
1990-03-01,3682.500000,3774.199951,3633.899902,3639.500000,3630.257324,466610000
1990-04-01,3599.399902,3654.800049,3323.300049,3340.899902,3332.416016,411900000
1990-05-01,3349.100098,3587.000000,3324.600098,3582.000000,3572.903809,479150000
1990-06-01,3607.000000,3617.199951,3473.800049,3543.899902,3534.900146,453330000
1990-07-01,3542.800049,3638.899902,3524.500000,3561.100098,3552.056641,383840000
1990-08-01,3560.600098,3592.300049,3329.699951,3346.300049,3337.802002,549340000
1990-09-01,3327.100098,3338.300049,3144.199951,3159.399902,3151.376953,402380000
1990-10-01,3169.699951,3208.100098,3007.800049,3081.300049,3073.475342,495430000
1990-11-01,3074.199951,3152.199951,3049.500000,3151.000000,3142.998047,456300000
1990-12-01,3161.199951,3263.699951,3150.600098,3256.800049,3248.529541,404550000
1991-01-01,3246.100098,3272.899902,3150.899902,3272.899902,3264.588623,428920000
1991-02-01,3271.800049,3537.000000,3263.399902,3462.399902,3453.607178,588650000
1991-03-01,3445.500000,3598.100098,3445.399902,3495.699951,3486.822510,554090000
1991-04-01,3491.300049,3554.500000,3460.699951,3468.800049,3459.991211,546200000
1991-05-01,3471.600098,3546.199951,3441.300049,3546.100098,3537.094727,474850000
1991-06-01,3540.800049,3582.699951,3459.500000,3465.800049,3456.998535,459230000
1991-07-01,3485.800049,3564.699951,3471.199951,3539.600098,3537.957520,403030000
1991-08-01,3536.100098,3552.600098,3469.500000,3517.899902,3517.899902,394450000
1991-09-01,3512.800049,3517.000000,3378.399902,3387.899902,3387.899902,409510000
1991-10-01,3393.899902,3515.899902,3324.199951,3515.800049,3515.800049,529440000
1991-11-01,3520.100098,3604.100098,3430.699951,3448.500000,3448.500000,535790000
1991-12-01,3430.399902,3515.300049,3315.899902,3512.399902,3512.399902,468200000
1992-01-01,3493.000000,3672.600098,3478.000000,3596.100098,3596.100098,672820000
1992-02-01,3589.600098,3618.100098,3529.600098,3581.899902,3581.899902,552370000
1992-03-01,3573.500000,3588.800049,3401.500000,3412.100098,3412.100098,618920000
1992-04-01,3393.300049,3419.800049,3299.100098,3355.600098,3355.600098,507510000
1992-05-01,3364.399902,3444.800049,3351.899902,3387.899902,3387.899902,497900000
1992-06-01,3377.899902,3419.800049,3321.399902,3387.699951,3387.699951,573160000
1992-07-01,3410.300049,3479.100098,3392.199951,3443.399902,3443.399902,564170000
1992-08-01,3434.100098,3434.100098,3360.500000,3402.899902,3402.899902,466540000
1992-09-01,3399.100098,3472.399902,3289.000000,3297.899902,3297.899902,661080000
1992-10-01,3304.800049,3345.100098,3150.000000,3336.100098,3336.100098,668510000
1992-11-01,3335.000000,3379.300049,3213.699951,3282.800049,3282.800049,713080000
1992-12-01,3278.800049,3350.399902,3255.199951,3350.399902,3350.399902,831950000
1993-01-01,3349.000000,3356.699951,3263.199951,3305.500000,3305.500000,900880000
1993-02-01,3308.399902,3467.399902,3301.000000,3451.699951,3451.699951,969630000
1993-03-01,3447.800049,3614.699951,3425.300049,3602.399902,3602.399902,1295630000
1993-04-01,3598.600098,3789.699951,3582.699951,3789.399902,3789.399902,1374870000
1993-05-01,3787.600098,3883.399902,3762.699951,3882.600098,3882.600098,1305340000
1993-06-01,3875.500000,4002.600098,3848.899902,3966.399902,3966.399902,1236020000
1993-07-01,3995.000000,4003.699951,3827.399902,3967.199951,3967.199951,1161400000
1993-08-01,3972.399902,4144.399902,3945.899902,4137.600098,4137.600098,1109630000
1993-09-01,4124.000000,4144.000000,3918.100098,3990.600098,3990.600098,1285110000
1993-10-01,3985.000000,4255.600098,3969.600098,4255.500000,4255.500000,1141140000
1993-11-01,4228.299805,4303.299805,4160.200195,4180.200195,4180.200195,1591000000
1993-12-01,4195.700195,4330.000000,4195.700195,4321.399902,4321.399902,1280270000
1994-01-01,4348.000000,4574.299805,4344.600098,4554.899902,4554.899902,1649260000
1994-02-01,4574.799805,4601.100098,4327.000000,4423.799805,4423.799805,1459380000
1994-03-01,4408.799805,4609.899902,4276.700195,4329.600098,4329.600098,1697050000
1994-04-01,4250.700195,4352.799805,4092.600098,4267.100098,4267.100098,1163590000
1994-05-01,4275.600098,4333.399902,4157.700195,4326.799805,4326.799805,1185020000
1994-06-01,4314.799805,4314.799805,3935.699951,4025.300049,4025.300049,1178700000
1994-07-01,4025.300049,4204.000000,4025.300049,4179.000000,4179.000000,983970000
1994-08-01,4182.200195,4350.200195,4160.100098,4349.500000,4349.500000,1280810000
1994-09-01,4335.399902,4436.000000,4313.200195,4354.200195,4354.200195,1300180000
1994-10-01,4352.600098,4379.200195,4220.200195,4291.700195,4291.700195,1103340000
1994-11-01,4278.200195,4281.100098,3999.500000,4093.399902,4093.399902,1118880000
1994-12-01,4096.200195,4213.799805,4016.500000,4213.600098,4213.600098,1091510000
1995-01-01,4192.899902,4196.399902,3983.300049,4017.500000,4017.500000,1152190000
1995-02-01,4039.000000,4154.100098,4015.500000,4124.799805,4124.799805,1121710000
1995-03-01,4113.899902,4320.500000,4072.100098,4313.600098,4313.600098,1429050000
1995-04-01,4305.299805,4317.899902,4243.000000,4279.500000,4279.500000,1215410000
1995-05-01,4276.299805,4452.100098,4255.799805,4448.600098,4448.600098,1505270000
1995-06-01,4448.700195,4562.100098,4422.500000,4527.200195,4527.200195,1465340000
1995-07-01,4527.200195,4718.299805,4527.000000,4615.100098,4615.100098,1249480000
1995-08-01,4604.899902,4632.700195,4514.799805,4516.700195,4516.700195,1207400000
1995-09-01,4510.799805,4613.500000,4486.899902,4529.799805,4529.799805,1298310000
1995-10-01,4513.299805,4518.799805,4280.000000,4459.200195,4459.200195,1204750000
1995-11-01,4449.100098,4681.700195,4445.000000,4661.200195,4661.200195,1442290000
1995-12-01,4658.000000,4752.799805,4611.600098,4713.500000,4713.500000,1368160000
