"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 05","649.82","650.98","667.57","645.03","686.73M","-0.15%"
"Jul 05","650.81","622.52","652.15","620.22","487.92M","4.93%"
"Jun 05","620.22","617.61","638.21","611.25","657.91M","0.40%"
"May 05","617.74","603.38","617.74","590.67","587.84M","2.30%"
"Apr 05","603.86","642.72","648.37","598.87","573.49M","-5.59%"
"Mar 05","639.62","677.90","692.06","625.25","727.74M","-5.41%"
"Feb 05","676.18","637.98","679.70","637.04","615.09M","6.14%"
"Jan 05","637.04","622.34","637.51","607.14","616.10M","1.86%"
"Dec 04","625.42","611.27","626.35","597.48","603.99M","2.32%"
"Nov 04","611.24","581.38","613.95","576.84","776.18M","5.30%"
"Oct 04","580.50","587.08","598.61","576.54","738.70M","-0.92%"
"Sep 04","585.91","554.93","587.65","548.81","695.06M","5.31%"
"Aug 04","556.36","565.92","566.37","535.89","472.21M","-1.57%"
"Jul 04","565.24","583.76","588.89","547.00","631.07M","-4.02%"
"Jun 04","588.89","600.20","601.23","579.65","574.50M","-1.82%"
"May 04","599.78","579.99","599.78","558.89","698.79M","3.37%"
"Apr 04","580.22","616.91","630.46","578.15","864.33M","-5.72%"
"Mar 04","615.43","622.40","637.59","599.03","855.92M","-0.58%"
"Feb 04","618.99","597.65","626.47","593.60","672.25M","3.88%"
"Jan 04","595.85","592.90","606.60","587.65","816.89M","0.83%"
"Dec 03","590.95","578.73","594.13","558.23","735.31M","2.56%"
"Nov 03","576.21","556.93","576.21","554.71","623.06M","3.75%"
"Oct 03","555.39","519.78","555.39","517.03","706.96M","7.33%"
"Sep 03","517.46","518.94","538.27","516.62","691.62M","-0.34%"
"Aug 03","519.20","497.88","519.86","494.67","504.32M","4.01%"
"Jul 03","499.19","462.72","499.24","459.23","522.03M","8.70%"
"Jun 03","459.23","448.50","468.45","448.06","378.36M","2.45%"
"May 03","448.26","431.67","448.31","430.66","347.27M","3.74%"
"Apr 03","432.08","412.79","432.32","409.37","319.80M","4.68%"
"Mar 03","412.77","433.55","433.55","402.36","287.59M","-4.62%"
"Feb 03","432.77","441.14","444.07","429.36","310.43M","-1.78%"
"Jan 03","440.62","444.54","452.42","436.11","452.15M","-0.80%"
"Dec 02","444.18","427.24","444.50","420.96","516.34M","4.41%"
"Nov 02","425.42","424.75","431.96","415.16","427.19M","0.10%"
"Oct 02","425.01","432.15","435.56","385.94","409.53M","-1.67%"
"Sep 02","432.25","449.76","456.54","423.83","428.11M","-4.35%"
"Aug 02","451.91","454.76","459.49","448.36","355.60M","-1.23%"
"Jul 02","457.56","492.27","495.31","423.73","441.00M","-7.60%"
"Jun 02","495.21","521.09","526.71","490.10","779.73M","-5.36%"
"May 02","523.24","506.31","528.90","502.76","686.97M","3.31%"
"Apr 02","506.46","508.64","517.05","502.92","582.70M","-0.05%"
"Mar 02","506.73","483.36","509.49","482.09","554.92M","4.88%"
"Feb 02","483.17","471.39","483.45","469.71","522.63M","2.39%"
"Jan 02","471.87","463.36","475.61","460.19","475.38M","1.68%"
"Dec 01","464.07","428.85","464.07","427.88","470.98M","7.95%"
"Nov 01","429.88","407.39","431.10","404.12","542.37M","6.37%"
"Oct 01","404.12","402.41","414.78","394.95","389.61M","1.23%"
"Sep 01","399.20","440.21","448.71","379.96","355.58M","-9.77%"
"Aug 01","442.42","464.00","470.17","440.84","408.75M","-4.48%"
"Jul 01","463.16","476.07","480.78","460.75","428.61M","-2.83%"
"Jun 01","476.64","492.66","500.65","468.11","444.83M","-3.38%"
"May 01","493.33","469.65","505.01","467.36","522.92M","5.30%"
"Apr 01","468.49","437.05","469.88","430.46","498.15M","6.66%"
"Mar 01","439.22","439.09","459.72","427.88","470.71M","-0.52%"
"Feb 01","441.52","458.61","466.50","436.08","479.68M","-3.59%"
"Jan 01","457.95","450.41","459.35","431.26","477.74M","1.84%"
"Dec 00","449.68","430.43","459.13","426.99","433.62M","4.55%"
"Nov 00","430.10","464.47","473.97","425.71","366.30M","-7.53%"
"Oct 00","465.14","484.03","486.10","447.73","449.54M","-3.72%"
"Sep 00","483.10","503.48","513.37","469.15","88.00M","-4.05%"
"Aug 00","503.48","462.74","504.74","461.67","-","8.80%"
"Jul 00","462.74","471.67","485.81","461.90","-","-1.89%"
"Jun 00","471.67","448.03","475.42","448.03","-","5.28%"
"May 00","448.03","450.22","463.34","434.25","-","-0.49%"
"Apr 00","450.22","453.18","476.51","408.06","-","-0.65%"
